AMTRAK,IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,CASINJRR,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,STATION,COUNTY,STATE,REGION,DUMMY2,CITY,HIGHWAY,VEHSPD,TYPVEH,VEHDIR,POSITION,RREQUIP,RRCAR,TYPACC,HAZARD,TEMP,VISIBLTY,WEATHER,TYPEQ,TYPTRK,TRKNAME,TRKCLAS,NBRLOCOS,NBRCARS,TRNSPD,TYPSPD,TRNDIR,SIGNAL,LOCWARN,WARNSIG,LIGHTS,STANDVEH,TRAIN2,MOTORIST,VIEW,VEHDMG,DRIVER,INVEH,TOTKLD,TOTINJ,TOTOCC,INCDRPT,JOINTCD,TYPRR,DUMMY3,CASKLDRR,DUMMY4,CROSSING,NARRLEN,DUMMY5,YEAR4,DIVISION,PUBLIC,CNTYCD,STCNTY,HZMRLSED,HZMNAME,HZMQNTY,HZMMEAS,SIGWARNX,WHISBAN,DRIVAGE,DRIVGEN,PLEONTRN,SSB1,SSB2,USERKLD,USERINJ,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,NARR1,NARR2,NARR3,NARR4,NARR5,SUBDIV,ROADCOND,VIDEOT,VIDEOU,
,14,9,CSX ,135041,,,    ,          ,14,9,CSX ,135041,,0,339712S,14,9,18,11,25,PM,PENSACOLA           ,ESCAMBIA            ,12,3,,PENSACOLA           ,BLOUNT ST           ,5,A,4,3,1,4,2,2,75,4,1,1,2,WEST TRACK          ,1,2,23,3,E,1,1,1,2,1,2,2,1,8,1500,3,1,0,0,1,2,1,1,,0,  ,102030611,246,,2014,                    ,Y,33,12C033,4,,,, , ,56,1,2,                    ,                    ,0,0,0,0,0,0,M73418 WAS STOPPED ON THE WEST TRACK WHEN A MOTORIST DROVE INTO THE SIDE OF THE TRAIN AT BLOUNT ST.,"THE VEHICLE STRUCK THE SECOND CAR IN THE CONSIST, KRL 70887. PROTECTION ALSO AT CROSSING: ADVANCE WA",RNING AND PAVEMENT MARKINGS (RR XING SYMBOLS).,,,PA                  ,A,2,2,
,14,9,CSX ,135133,,,    ,          ,14,9,CSX ,135133,,1,620740R,14,9,20,10,10,PM,JACKSONVILLE        ,NASSAU              ,12,3,,CALLAHAN            ,OLD DIXIE HIGHWAY   ,,K,2,3,1,1,1,4,69,4,1,1,1,2,4,2,16,52,E,1,1,1,2,1, ,2,1,8,0, , ,0,1,0,2,1,1,,0,  ,1030611,185,,2014,                    ,Y,89,12C089,4,,,, , ,15,1,2,                    ,                    ,0,1,0,0,0,0,Q17621 STRUCK A 16 YEAR OLD MINOR TRESPASSER THAT WAS PLAYING CHICKEN WITH THE TRAIN.  PROTECTION AL,SO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).,,,,NAHUNTA             ,A,2,2,
,14,4,BNSF,CA0414200,,,    ,          ,14,4,BNSF,CA0414200,,0,028424N,14,4,1,3,5,AM,HANFORD             ,KINGS               ,6,7,,HANFORD             ,7TH STREET,0,A,4,1,1,1,1,2,47,4,2,1,1,MAIN 2 TRACK,5,3,53,20,E,4,1,1, ,2,2,2,5,8,2000,3,1,0,0,1,2,1,1,,0,  ,102,21,,2014,                    ,Y,31,06C031,4,,,, , ,62,1,2,                    ,                    ,0,0,0,0,0,0,41: STUCK ON CROSSING,,,,,BAKERSFIELD         ,A,1,2,
K,14,2,ATK ,131829,,,    ,          ,14,2,UP  ,0214RS023,,2,750037J,14,2,23,9,41,PM,FREMONT             ,ALAMEDA             ,6,7,,FREMONT             ,DUSTERBERRY WAY     ,25,A,3,3,2,1,1,4,50,4,1,B,1,1,4,1,5,70,E,1,1,1,2,2,2,2,1,8,2000,2,1,0,2,2,2,1,6,,0,  ,1030607,149,,2014,                    ,Y,1,06C001,4,,,, , ,27,1,18,                    ,                    ,0,2,0,0,0,0,"TRAIN 748 OPERATING WITH CAB CAR 8303 IN THE LEAD, 4 CARS AND LOCOMOTIVE E/2004 IN THE REAR STRUCK A",N AUTOMOBILE AT MP32.54 DUSTERBERRY WAY CROSSING.,,,,NILES               ,A,1,2,
,14,12,CSX ,139346,,,    ,          ,14,12,CSX ,139346,,0,624988R,14,12,29,8,30,AM,WALDO               ,ALACHUA             ,12,3,,WALDO               ,S W 5TH AV  E,1,A,3,3,1,1,1,4,66,2,4,1,1,#1 MAIN,3,2,61,40,E,2,1,1,2,1,2,2,1,8,2500,3,1,0,0,1,2,1,1,,0,  ,10306,112,,2014,                    ,Y,1,12C001,4,,,, , ,51,1,2,                    ,                    ,0,0,0,0,0,0,"W08122 STRUCK A VEHICLE AT THE CROSSING, NO INJURY TO CREW, DRIVER DISREGARDED HIGHWAY CROSSING WARN",ING DEVICES.,,,,WILDWOOD            ,A,2,2,
,14,9,FCRD,FCR599814,,,    ,          ,14,9,FCRD,FCR599814,,0,927356W,14,9,16,12,5,AM,FIRST COAST RAILROAD,NASSAU              ,12,3,,FERNANDINA BEACH    ,PRIVATE CROSSING IN ,10,C,3,3,2,4,1,4,75,4,2,7,4,ZERO TRK            ,1,1,3,5,E,1, ,2,2,2,2,2,3,8,500,3,1,0,0,1,2,1,3,,0,  ,10,226,,2014,                    ,N,89,12C089,4,,,, , ,33,1,2,                    ,                    ,0,0,0,0,0,0,1800 JOB SHOVING IN ZERO TRACK TRACTOR FAILED TO YIELD TO FLAGGER RESULTING IN COLLISION.  DRIVER ST,ATED HE MISINTERPRETED THE STOP SIGNAL WITH A PROCEED SIGNAL.  REPORTS MADE BUT NO CITATIONS DUE TO ,BEING ON PRIVATE PROPERTY.,,,FERNANDINA SUB      ,B,2,2,
,14,8,SFRV,80414,,,    ,          ,14,8,CSX ,XXX       ,,2,628116P,14,8,4,12,15,PM,WEST PALM BEACH     ,PALM BEACH          ,12,3,,WEST PALM BEACH     ,25TH STREET,20,A,3,3,2,1,1,4,87,2,2,C,1,MAIN LINE 2,4,1,3,38,R,1,1,1,2,2,2,2,7,8,3000,1,1,1,2,1,2,1,6,,1,  ,10203060711,293,,2014,                    ,Y,99,12C099,4,,,, , ,59,2,27,                    ,                    ,1,0,0,0,0,2,NORTHBOUND TRAIN STRUCK A VEHICLE WHICH DROVE THROUGH THE CROSSING GATE INTO THE PATH OF THE TRAIN. ,DRIVER OF THE VEHICLE WAS TRANSPORTED TO HOSPITAL WHERE SHE EXPIRED FROM HER INJURIES. TWO TRAIN PAS,SENGERS CLAIMED BACK INJURIES BUT REFUSED MEDICAL ATTENTION.  #32 INCLUDES PAVEMENT MARKINGS.,,,MIAMI               ,B,1,1,
K,14,7,ATK ,133753,,,    ,          ,14,7,UP  ,0714LA010,,0,745651W,14,7,23,9,40,AM,VENTURA             ,VENTURA             ,6,7,,VENTURA             ,CALIFORNIA ST.      ,0,K,4,2,1,1,1,4,73,2,1,2,1,SINGLE MAIN TRACK   ,3,2,7,50,R,1,1,1,2,2, ,2,1,8,0, , ,1,0,0,2,1,6,,1,  ,1030607,206,,2014,                    ,Y,111,06C111,4,,,, , ,  ,2,100,                    ,                    ,1,0,0,0,0,0,"TRAIN 761 WITH UP 2497 LOCOMOTIVE IN THE LEAD, 7 CARS AND AMTRAK LOCOMOTIVE E/206 TRAILING STRUCK A","TRESPASSER IN THE PATH OF TRAIN AT MP 397.4, CALIFORNIA ST CROSSING. THE AGE OF THE TRESPASSER IS UN",KNOWN.,,,SANTA BARBARA       ,A,2,2,
K,14,7,ATK ,133794,,,    ,          ,,,BNSF,          ,,0,028631H,14,7,27,6,24,PM,MERCED              ,MERCED              ,6,7,,                    ,SANTA FE AVE        ,0,A,4,1,1,1,1,4,101,3,1,2,1,SINGLE MAIN TRACK   ,4,1,6,65,E,4,1,1,2,2,2,2,5,8,2000,3,2,0,0,0,2,1,6,,0,  ,103050607,303,,2014,                    ,Y,47,06C047,4,,,, , ,  ,1,186,                    ,                    ,0,0,0,0,0,0,"TRAIN 717 OPERATING WITH LOCOMOTIVE E/22 AND 7 CARS STRUCK AN UNOCCUPIED AUTOMOBILE AT MP 1035.94, S",ANTA FE AVE CROSSING. DRIVER IN THE VEHICLE WENT AROUND BARACADES CLOSING OFF THE ROAD CROSSING AND ,"BECAME HIGH-CENTERED ON TRACKS, THEN VACATED THE VEHICLE BEFORE IMPACT.  THERE WAS NO EQUIPMENT DAMA",GE.,,STOCKTON            ,E,1,2,
K,14,10,ATK ,134879,,,    ,          ,,,CFRC,          ,,0,622067A,14,10,17,8,3,PM,WINTER PARK         ,SEMINOLE            ,12,3,,                    ,N. RONALD REAGAN BLV,0,A,4,1,1,1,1,4,70,4,1,2,1,#2 MAIN,4,2,9,71,R,1,1,1,2,2,2,2,4,8,20000,3,2,0,0,1,2,1,6,,0,  ,102030607,176,,2014,                    ,Y,117,12C117,4,,,, , ,59,1,162,                    ,                    ,0,0,0,0,0,0,TRAIN 92 OPERATING WITH LOCOMOTIVES E/82-E/179 AND 9 CARS STRUCK AN UNOCCUPIED AUTOMOBILE AT MP 776.,"12, N. RONALD REAGAN BLVD CROSSING.  AMTRAKS EQUIPMENT DAMAGE IS $ 1,213.00.",,,,SANFORD             ,A,1,2,
,14,4,NS  ,110051,,,    ,          ,14,4,NS  ,110051,,0,713567A,14,4,15,5,19,PM,JACKSONVILLE        ,DUVAL               ,12,3,,JACKSONVILLE        ,MCDUFF AVE          ,3,C,3,3,1,1,1,4,71,3,2,7,1,DOUBLE-MAIN ONE     ,2,2,1,18,R,1, ,1,2,2,2,2,3,8,3000,3,1,0,0,1,2,1,1,,0,  ,7,99,,2014,                    ,Y,31,12C031,4,,,, , ,66,1,2,                    ,                    ,0,0,0,0,0,0,HIGHWAY USER FAILED TO STOP SHORT OF CROSSING AND WAS STRUCK BY AN NS TRAIN. DRIVER'S AGE VERIFIED.,,,,,GEORGIA             ,B,2,2,
,14,7,CSX ,131583,,,    ,          ,14,7,CSX ,131583,,0,625106Y,14,7,1,4,31,PM,OXFORD              ,SUMTER              ,12,3,,OXFORD              ,CR 104,0,C,4,1,1,1,1,2,91,2,1,1,1,SINGLE MAIN         ,4,2,68,40,E,2,1,1,2,2,2,2,4,8,6500,3,1,0,0,2,2,1,1,,0,  ,1030611,196,,2014,                    ,Y,119,12C119,4,,,, , ,56,1,3,                    ,                    ,0,0,0,0,0,0,"SOUTHBOUND TRAIN K87629, STRUCK A SEMI TRAILER AT THE CROSSING. AGE AND GENDER OF DRIVER UNKNOWN. PR",OTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).,,,,WILDWOOD            ,A,2,2,
K,14,1,ATK ,131557,,,    ,          ,14,1,CSX ,125470,,2,620954H,14,1,29,4,5,PM,PALATKA             ,PUTNAM              ,12,3,,                    ,PRIVATE             ,25,D,4,3,1,1,1,4,40,2,1,2,1,SINGLE MAIN TRACK   ,4,2,43,52,R,2, ,1,2,2,2,2,2,8,20000,2,1,0,2,1,2,1,6,,0,  ,7,162,,2014,                    ,N,107,12C107,4,,,, , ,21,1,473,                    ,                    ,0,1,0,0,0,1,AUTO TRAIN 53 OPERATING WITH LOCOMOTIVES E/814-E/830 AND 43 CARS STRUCK A PICK-UP TRUCK AT MP A692.2,"9, A PRIVATE CROSSING.  AMTRAKS EQUIPMENT DAMAGE IS $3,741.00.",,,,SANFORD             ,A,2,2,
K,14,1,ATK ,131495,,,    ,          ,,,CFRC,          ,,3,622339K,14,1,27,11,55,AM,KISSIMMEE           ,ORANGE              ,12,3,,TAFT                ,FOURTH       S      ,25,A,4,3,1,1,1,4,76,2,1,2,1,MAIN # 1,5,2,10,79,E,2,1,1,2,2,2,2,1,8,10000,3,1,0,3,3,2,1,6,,0,  ,1030607,162,,2014,                    ,Y,95,12C095,4,,,, , ,41,1,169,                    ,                    ,0,2,0,0,0,1,"TRAIN 91 OPERATING WITH LOCOMOTIVES E/24-E/136 AND 10 CARS STRUCK AN OCCUPIED VEHICLE AT MP798.24, E",AST 4TH STREET CROSSING.  AMTRAKS EQUIPMENT DAMAGE IS $500.00.,,,,ORLANDO             ,A,1,2,
K,14,10,ATK ,134910,,,    ,          ,14,10,CSX ,136514,,0,625396J,14,10,20,2,9,PM,WINTER HAVEN        ,POLK                ,12,3,,                    ,SPIRIT LAKE RD      ,40,J,4,3,1,5,2,4,95,2,1,2,1,SINGLE MAIN TRACK   ,4,2,9,55,E,2,1,1,2,2,2,2,1,8,0,3,1,0,0,2,2,1,6,,0,  ,1030607,211,,2014,                    ,Y,105,12C105,4,,,, , ,  ,1,172,                    ,                    ,0,0,0,0,0,0,TRAIN 91 OPERATING WITH LOCOMOTIVES E/170-E/25 AND 9 CARS WAS ALLEGEDLY STRUCK BY A VEHICLE AT MP SX,822.9 SPIRIT RD CROSSING.  AMTRAKS EQUIPMENT DAMAGE IS $ 455.00. THE HIGHWAY USERS AGE IS UNKNOWN AT, THIS TIME.,,,AUBURNDALE          ,A,1,2,
,14,10,CSX ,136863,,,    ,          ,14,10,CSX ,136863,,0,339645A,14,10,28,10,45,PM,CANTONMENT          ,ESCAMBIA            ,12,3,,CANTONMENT          ,E BOGIA RD          ,0,A,3,2,1,1,1,4,69,4,1,1,1,SINGLE MAIN         ,4,2,80,11,E,2,1,1,2,2,2,2,5,8,5000,3,2,0,0,0,2,1,1,,0,  ,103060711,159,,2014,                    ,Y,33,12C033,4,,,, , ,  ,1,2,                    ,                    ,0,0,0,0,0,0,Q60927 STRUCK AN UNOCCUPIED 2011 VOLKSWAGEN JETTA AUTOMOBILE THAT WAS STUCK ON CROSSING. AGE OF MOTO,RIST UNKNOWN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING.,,,,PD                  ,A,2,2,
,14,8,NS  ,111691,,,    ,          ,14,8,NS  ,111691,,0,713567A,14,8,11,11,10,AM,JACKSONVILLE        ,DUVAL               ,12,3,,JACKSONVILLE        ,MCDUFF AVE          ,20,B,4,3,6,1,1,4,82,2,1,8,1,DOUBLE-DOUBLE TRACK ,2,2,0,20,E,1, ,1,2,2,2,2,3,8,1000,3,1,0,0,1,2,1,1,,0,  ,7,63,,2014,                    ,Y,31,12C031,4,,,, , ,37,2,2,                    ,                    ,0,0,0,0,0,0,NS TRAIN 291G410 STRUCK A HIGHWAY USER AT A HWY-GRADE CROSSING.,,,,,GEORGIA             ,A,2,2,
,14,8,CSX ,133104,,,    ,          ,14,8,CSX ,133104,,0,625030V,14,8,7,2,25,AM,CITRA               ,MARION              ,12,3,,CITRA               ,318 CR,0,A,4,1,1,1,1,4,84,4,1,1,1,SINGLE MAIN         ,4,2,85,22,E,1,1,1,2,2,2,2,4,8,6500,3,2,0,0,0,2,1,1,,0,  ,102030611,250,,2014,                    ,Y,83,12C083,4,,,, , ,21,1,2,                    ,                    ,0,0,0,0,0,0,K80203 STRUCK UNOCCUPIED VEHICLE STUCK ON TRACK CROSSING. NO INJURIES TO CREW OR PUBLIC. VEHICLE BY-,PASSED BARRICADES WHERE CONSTRUCTION AND REPAIRS WERE BEING DONE ON RR CROSSING. OCCUPANTS EVACUATED, VEHICLE PRIOR TO LOCOMOTIVE ARRIVAL. NO INJURIES.,,,WILDWOOD            ,A,2,2,
,14,1,SFRV,11614,,,    ,          ,14,1,CSX ,XXX       ,,0,628139W,14,1,16,8,15,AM,LAKE WORTH          ,PALM BEACH          ,12,3,,WEST PALM BEACH     ,FOREST HILL BLVD    ,0,E,3,2,1,1,1,4,57,2,1,3,1,MAIN LINE 1,4,1,3,55,R,2,1,1,2,2,2,2,4,8,3000,3,2,0,0,1,2,1,6,,0,  ,10203050607,197,,2014,                    ,Y,99,12C099,4,,,, , ,39,2,90,                    ,                    ,0,0,0,0,0,0,DRIVER OF HIGHWAY VEHICLE STOPPED WITH THE FRONT OF THE VEHICLE FOULING ML1 AND WAS CLIPPED BY THE L,OCOMOTIVE. REPORTS INDICATED THE DRIVER EXITED THE VEHICLE PRIOR TO IMPACT. NO INJURIES REPORTED. ,,,,MIAMI               ,A,1,1,
,14,1,SFRV,11914,,,    ,          ,14,1,CSX ,XXX       ,,0,628194W,14,1,19,1,57,PM,FORT LAUDERDALE     ,BROWARD             ,12,3,,FORT LAUDERDALE     ,SISTRUNK BLVD       ,0,A,4,2,1,1,1,4,70,2,1,3,1,MAIN LINE 1,4,1,3,20,R,2,1,1,3,3,2,2,4,8,1500,3,2,0,0,1,2,1,6,,0,  ,102030607,196,,2014,                    ,Y,11,12C011,4,,,, , ,78,2,120,                    ,                    ,0,0,0,0,0,0,DRIVER OF HIGHWAY VEHICLE STOPPED WITH THE REAR OF THE VEHICLE FOULING ML1 AND WAS CLIPPED BY THE LO,COMOTIVE. REPORTS INDICATED THE DRIVER EXITED THE VEHICLE PRIOR TO IMPACT. NO INJURIES REPORTED.,,,,MIAMI               ,A,1,1,
,14,7,FEC ,X10071414,,,    ,          ,14,7,FEC ,X10071414,,0,271917R,14,7,14,1,7,AM,NATIONAL GARDENS    ,VOLUSIA             ,12,3,,ORMOND BEACH        ,BROADWAY STREET     ,5,D,4,3,1,0,2,2,77,4,1,1,1,SINGLE MAIN TRACK   ,4,2,74,40,E,2,1,1,2,2,2,2,7,8,10000,3,1,0,0,2,2,1,2,,0,  ,10306,355,,2014,                    ,Y,127,12C127,4,,,, , ,24,1,2,                    ,                    ,0,0,0,0,0,0,"AFTER INVESTIGATION, IT WAS DETERMINED THAT THE VEHICLE APPROACHED THE ACTIVE SIGNAL CROSSING ON THE", EAST SIDE OF THE TRACKS WHILE THE TRAIN WAS PROCEEDING SOUTHBOUND.  DRIVER FAILED TO STOP AND COLLI,DED WITH SIGNAL ARM END AND ALSO THE LEFT SIDE OF TRAIN IN AN UNKNOWN AREA OF THE TRAIN.  TRAIN CREW, WAS UNAWARE OF INCIDENT AND NO INJURIES WERE REPORTED.,,SYSTEM              ,A,2,2,
